iter	RMSE
0	75.34905707
1	73.708383
2	72.49642008
3	71.06861267
4	69.34412214
5	67.53716924
6	66.16833417
7	64.9909821
8	63.86757506
9	62.58078208
10	61.64454342
11	60.90889976
12	60.00721732
13	58.91984419
14	57.95918793
15	57.06664621
16	56.03774885
17	55.18016402
18	54.07310497
19	53.08974042
20	52.20246265
21	51.23538927
22	50.25050467
23	49.77901847
24	48.87577998
25	47.90900809
26	47.17907815
27	46.69162905
28	46.05706551
29	45.19801685
30	44.79549386
31	44.20294561
32	43.29313701
33	42.59183543
34	41.92328684
35	41.31916554
36	40.83529636
37	40.29154858
38	39.90049549
39	39.30466197
40	38.64575317
41	38.28846447
42	37.83420457
43	37.4250844
44	36.9171226
45	36.60010794
46	36.1125197
47	35.73966348
48	35.32001055
49	34.86644515
50	34.62668984
51	34.16489992
52	33.7547448
53	33.44574808
54	32.92275588
55	32.67182443
56	32.26997793
57	31.84042226
58	31.34367764
59	31.16512404
60	30.83104867
61	30.3363421
62	30.13590402
63	29.66406856
64	29.42385643
65	29.03304493
66	28.79670814
67	28.30186244
68	27.9453973
69	27.70843421
70	27.37378445
71	27.14180869
72	26.90602495
73	26.40083828
74	26.12512164
75	25.60675707
76	25.47257234
77	25.16194079
78	24.94667364
79	24.8226587
80	24.53563281
81	24.44512305
82	24.3345763
83	24.10296876
84	23.95050928
85	23.69760654
86	23.47138935
87	23.28875941
88	23.13730061
89	23.02180095
90	22.85691931
91	22.64225289
92	22.53862002
93	22.29438211
94	22.10716684
95	21.89815648
96	21.5854819
97	21.35296849
98	21.23861254
99	21.08631284
100	20.88261361
101	20.77733863
102	20.62965295
103	20.46575961
104	20.37314584
105	20.20248949
106	19.99985688
107	19.93646363
108	19.7750533
109	19.62302671
110	19.52476732
111	19.374865
112	19.2286156
113	19.05842157
114	18.93877692
115	18.77813009
116	18.66334021
117	18.60474903
118	18.52909714
119	18.46870243
120	18.39647626
121	18.20584413
122	18.15070172
123	18.01904642
124	17.93924698
125	17.80744666
126	17.66538984
127	17.56780252
128	17.49013322
129	17.38729149
130	17.2715548
131	17.19249586
132	17.06214332
133	16.98678999
134	16.932823
135	16.87804405
136	16.81348486
137	16.70412713
138	16.51976415
139	16.403011
140	16.29256807
141	16.19162224
142	16.15265155
143	16.07180814
144	16.03739516
145	15.9284756
146	15.7944571
147	15.70924398
148	15.65563977
149	15.49558929
150	15.35888389
151	15.26219189
152	15.14854015
153	15.01597182
154	14.96771447
155	14.83492436
156	14.79193531
157	14.75562583
158	14.6670861
159	14.59507355
160	14.53185562
161	14.43886141
162	14.31654414
163	14.21371484
164	14.14394252
165	14.08781649
166	14.04764147
167	13.97350258
168	13.93090365
169	13.89284596
170	13.81170626
171	13.72974748
172	13.64335044
173	13.57322682
174	13.515757
175	13.47336107
176	13.42248017
177	13.35900043
178	13.32060462
179	13.2588559
180	13.16777434
181	13.11317778
182	13.06047648
183	12.93723721
184	12.91524967
185	12.86213645
186	12.80563241
187	12.73705553
188	12.67155893
189	12.63743504
190	12.58437958
191	12.54235621
192	12.49937212
193	12.42419657
194	12.31682739
195	12.28226662
196	12.23584974
197	12.18285716
198	12.08718937
199	12.01368254
200	11.95154748
201	11.89269338
202	11.80675025
